"COMBLAIN-AU-PONT","11,1%","","50.4855 5.5625","Comblain-au-Pont"
"DALHEM","5,8%","","50.7206 5.7591","Dalhem"
"ESNEUX","7,6%","","50.5376 5.5688","Esneux"
"FLERON","11,3%","","50.6152 5.6841","Fléron"
"HERSTAL","16,5%","","50.6815 5.6065","Herstal"
"JUPRELLE","5,6%","","50.7153 5.5463","Juprelle"
"LIEGE","23,7%","","50.6317 5.5904","Luik"
"OUPEYE","11,0%","","50.7211 5.6415","Oupeye"
"SAINT-NICOLAS, Liège","18,0%","","50.6315 5.5275","Saint-Nicolas"
"SERAING","20,8%","","50.588 5.511","Seraing"
"SOUMAGNE","8,1%","","50.6324 5.7312","Soumagne"
"SPRIMONT","7,0%","","50.5191 5.6661","Sprimont"
"VISE","12,3%","","50.7415 5.6865","Wezet"
"GRACE-HOLLOGNE","14,0%","","50.6375 5.431","Grâce-Hollogne"
"BLEGNY","6,7%","","50.6743 5.7087","Blegny"
"FLEMALLE","12,7%","","50.597 5.4414","Flémalle"
"NEUPRE","5,3%","","50.5441 5.4882","Neupré"
"TROOZ","9,6%","","50.5715 5.6655","Trooz"
"AMBLEVE","6,5%","","50.3455 6.1814","Amel"
"AUBEL","7,8%","","50.7007 5.8514","Aubel"
"BAELEN","5,9%","","50.585 6.037","Baelen"
"BULLANGE","7,6%","","50.403 6.3115","Büllingen"
"BUTGENBACH","7,4%","","50.458 6.195","Bütgenbach"
"DISON","24,8%","","50.6155 5.876","Dison"
"EUPEN","15,0%","","50.6105 6.0635","Eupen"
"HERVE","7,6%","","50.6487 5.7962","Herve"
"JALHAY","5,3%","","50.5309 5.9664","Jalhay"
"LA CALAMINE","14,4%","","50.7176 6.0234","Kelmis"
"LIERNEUX","8,7%","","50.3077 5.7857","Lierneux"
"LIMBOURG","8,4%","","50.6113 5.9374","Limburg"
"LONTZEN","8,9%","","50.677 6.014","Lontzen"
"MALMEDY","10,4%","","50.4315 6.0416","Malmedy"
"OLNE","5,2%","","50.587 5.716","Olne"
"PEPINSTER","10,7%","","50.5722 5.7969","Pepinster"
